country,job,param,aval,parameter
France,Senior Data Analyst,max,161.2,MAX
France,Senior Data Engineer,max,151.9,MAX
France,Senior Data Scientist,max,162.2,MAX
France,Software Engineer,max,202.4,MAX
Germany,Business Analyst,max,129.8,MAX
Germany,Cloud Engineer,max,206,MAX
Germany,Data Analyst,max,206,MAX
Germany,Data Engineer,max,206,MAX
Germany,Data Scientist,max,197.8,MAX
Germany,Machine Learning Engineer,max,231.2,MAX
Germany,Senior Data Analyst,max,123,MAX
Germany,Senior Data Engineer,max,160.2,MAX
Germany,Senior Data Scientist,max,231.2,MAX
Germany,Software Engineer,max,182.6,MAX
Greece,Business Analyst,max,75.1,MAX
Greece,Data Analyst,max,206,MAX
Greece,Data Engineer,max,151.9,MAX
Greece,Data Scientist,max,176.3,MAX
Greece,Machine Learning Engineer,max,182.6,MAX
Greece,Senior Data Engineer,max,46.4,MAX
Greece,Senior Data Scientist,max,206,MAX
Greece,Software Engineer,max,161.2,MAX
Hungary,Cloud Engineer,max,91.8,MAX
Hungary,Data Analyst,max,159.6,MAX
Hungary,Data Engineer,max,151.9,MAX
Hungary,Data Scientist,max,162.2,MAX
Hungary,Machine Learning Engineer,max,191.1,MAX
Hungary,Senior Data Analyst,max,91.8,MAX
Hungary,Senior Data Engineer,max,151.9,MAX
Hungary,Senior Data Scientist,max,162.2,MAX
Hungary,Software Engineer,max,91.8,MAX
Ireland,Data Analyst,max,200.3,MAX
Ireland,Data Engineer,max,151.9,MAX
Ireland,Data Scientist,max,171.4,MAX
Ireland,Machine Learning Engineer,max,171,MAX
Ireland,Senior Data Analyst,max,200.3,MAX
Ireland,Senior Data Engineer,max,160.7,MAX
Ireland,Senior Data Scientist,max,171.4,MAX
Ireland,Software Engineer,max,91.8,MAX
Italy,Business Analyst,max,44.5,MAX
Italy,Data Analyst,max,114.5,MAX
Italy,Data Engineer,max,158.6,MAX
Italy,Data Scientist,max,162.2,MAX
Italy,Machine Learning Engineer,max,107.8,MAX
Italy,Senior Data Analyst,max,114.5,MAX
Italy,Senior Data Scientist,max,108.5,MAX
